Lietas ID (caseID),Tiesas ID (courtID),Tiesa,Dzimšanas datums,Ienākšanas kārtība,Ienākšanas datums,Izskatīšanas datums,Būtība,Prasījuma apmērs,atb_fiz,atb_jur,pras_fiz,pras_jur,Nozīmētās sēdes,Notikušās sēdes,naudaS_sods,dzivo_arzemes,atbr_no_nodevas
2080199,30,Valmieras rajona tiesa,210770,Pirmo reizi,10/12/2017,12/7/2017,Parāda piedziņa.,2217.38,1,0,0,1,1,0,0,1,0
2080334,7,Gulbenes rajona tiesa,130374,Pirmo reizi,10/12/2017,12/18/2017,maza apmera prasībā par naudas piedziņu,457.43,1,0,0,1,0,0,0,0,0
2080426,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,150678,Pirmo reizi,10/13/2017,11/30/2017,par parāda samaksu,8247.00,0,1,0,1,1,0,0,0,0
2080577,31,Ventspils tiesa,050174,Pirmo reizi,10/13/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,2458.64,1,0,0,1,0,0,0,0,0
2081105,279,Rīgas pilsētas Pārdaugavas tiesa,171172,Pirmo reizi,10/16/2017,12/14/2017,maza apmēra prasība par naudas piedziņu,352.78,1,0,0,1,1,0,0,0,0
2081139,26,Rīgas pilsētas Latgales priekšpilsētas tiesa,030180,Pirmo reizi,10/16/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,1125.50,1,0,0,1,0,0,0,0,0
2081171,31,Ventspils tiesa,130867,Pirmo reizi,10/16/2017,12/15/2017,maza apmēra prasība par naudas piedziņu,762.47,1,0,0,1,0,0,0,0,0
2081210,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,150678,Pirmo reizi,10/16/2017,11/30/2017,par parāda piedziņu,7257.50,1,0,0,1,1,0,0,0,0
2081216,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pirmo reizi,10/16/2017,11/30/2017, parāda piedziņa,3158.59,0,1,0,1,0,0,0,0,0
2081407,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,060678,Pirmo reizi,10/16/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,1338.09,1,0,0,1,0,0,0,0,0
2081442,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pirmo reizi,10/16/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,1874.79,0,1,0,1,0,0,0,0,0
2081771,31,Ventspils tiesa,050174,Pirmo reizi,10/17/2017,12/18/2017,maza apmēra prasība par naudas piedziņu,106.00,1,0,0,1,0,0,0,0,0
2081791,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,100976,Pirmo reizi,10/17/2017,11/30/2017,par parāda un likumisko procentu piedziņu,8101.45,0,1,0,1,1,0,0,0,0
2081795,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,270676,Pirmo reizi,10/17/2017,12/27/2017,maza apmēra prasība par naudas piedziņu,420.49,1,0,0,1,0,0,0,0,0
2081798,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,030169,Pirmo reizi,10/17/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,1890.81,0,1,0,1,0,0,0,0,0
2081849,32,Rīgas pilsētas Vidzemes priekšpilsētas tiesa,130374,Pirmo reizi,10/17/2017,11/30/2017,maza apmēra prasība par naudas piedziņu,299.98,1,0,0,1,0,0,0,0,0
